id,mode,domain,subtype,product,session,query,expected_groups,success,llm_used,answer,tokens_in,tokens_out,answer_trace,model,temperature,max_output_tokens,harness_commit
arch-v2-000033,GPT4O_LONGCTX,battery,atomic_verified,LiCell-107,arch_v2_s000033,What is the manufacturer of LiCell-107?,"[[""PowerCore""]]",1,1,PowerCore,801,2,"{""raw_answer"": ""PowerCore"", ""request_id"": ""req_6f7df735de0148de9fa0c078b8270e43"", ""execution_api"": ""live""}",gpt-4o-mini-2024-07-18,0.0,220,b3da0efcb33025a739a784324b844af10ebe8a35
arch-v2-000034,GPT4O_LONGCTX,battery,atomic_verified,LiCell-130,arch_v2_s000034,Is LiCell-130 a Thing?,"[[""Thing""]]",1,1,"Yes, LiCell-130 is a Thing.",812,10,"{""raw_answer"": ""Yes, LiCell-130 is a Thing."", ""request_id"": ""req_4ebff601a64f4e1ba1917e49a2de0bb6"", ""execution_api"": ""live""}",gpt-4o-mini-2024-07-18,0.0,220,b3da0efcb33025a739a784324b844af10ebe8a35
arch-v2-000035,GPT4O_LONGCTX,battery,atomic_verified,battery_seed_0046,arch_v2_s000035,"According to battery_seed_0046, what is the Data fields?","[[""manufacturing date, plant, batch, chemistry, recycling info""]]",1,1,"The Data fields are: manufacturing date, plant, batch, chemistry, recycling info.",1702,17,"{""raw_answer"": ""The Data fields are: manufacturing date, plant, batch, chemistry, recycling info."", ""request_id"": ""req_c86d2901124e4229943601da2c7b2ae2"", ""execution_api"": ""live""}",gpt-4o-mini-2024-07-18,0.0,220,b3da0efcb33025a739a784324b844af10ebe8a35
arch-v2-000036,GPT4O_LONGCTX,battery,atomic_verified,LiCell-110,arch_v2_s000036,What is the capacity of LiCell-110?,"[[""1800 mAh""]]",1,1,The capacity of LiCell-110 is 1800 mAh.,804,14,"{""raw_answer"": ""The capacity of LiCell-110 is 1800 mAh."", ""request_id"": ""req_29665d5468f74c76bb4eb3c6b8bd8a1a"", ""execution_api"": ""live""}",gpt-4o-mini-2024-07-18,0.0,220,b3da0efcb33025a739a784324b844af10ebe8a35
arch-v2-000037,GPT4O_LONGCTX,battery,atomic_verified,LiCell-009,arch_v2_s000037,Is LiCell-009 a Battery?,"[[""Battery""]]",1,1,"Yes, LiCell-009 is a Battery.",799,10,"{""raw_answer"": ""Yes, LiCell-009 is a Battery."", ""request_id"": ""req_145140b70a8841569d7a709b42ab70ef"", ""execution_api"": ""live""}",gpt-4o-mini-2024-07-18,0.0,220,b3da0efcb33025a739a784324b844af10ebe8a35
arch-v2-000038,GPT4O_LONGCTX,battery,atomic_verified,battery_seed_0011,arch_v2_s000038,"According to battery_seed_0011, what is the GTIN?","[[""03012345678919""]]",1,1,GTIN: 03012345678919,1447,9,"{""raw_answer"": ""GTIN: 03012345678919"", ""request_id"": ""req_52935f6dadbc464eba6041a77f3bf974"", ""execution_api"": ""live""}",gpt-4o-mini-2024-07-18,0.0,220,b3da0efcb33025a739a784324b844af10ebe8a35
arch-v2-000039,GPT4O_LONGCTX,battery,atomic_verified,LiCell-038,arch_v2_s000039,What is the manufacturer of LiCell-038?,"[[""CellTech""]]",1,1,CellTech,800,2,"{""raw_answer"": ""CellTech"", ""request_id"": ""req_059a5cd09b8e45b68a9d73dc81c8ba6f"", ""execution_api"": ""live""}",gpt-4o-mini-2024-07-18,0.0,220,b3da0efcb33025a739a784324b844af10ebe8a35
arch-v2-000040,GPT4O_LONGCTX,battery,atomic_verified,LiCell-128,arch_v2_s000040,Is LiCell-128 a Rechargeable Battery?,"[[""Rechargeable Battery""]]",1,1,"Yes, LiCell-128 is a Rechargeable Battery.",802,12,"{""raw_answer"": ""Yes, LiCell-128 is a Rechargeable Battery."", ""request_id"": ""req_179a79401f314bc9bc4e5e0633388e12"", ""execution_api"": ""live""}",gpt-4o-mini-2024-07-18,0.0,220,b3da0efcb33025a739a784324b844af10ebe8a35
arch-v2-000041,GPT4O_LONGCTX,battery,atomic_verified,battery_seed_0022,arch_v2_s000041,"According to battery_seed_0022, what is the Company?","[[""Northvolt""]]",1,1,Company: Northvolt (SE),1583,7,"{""raw_answer"": ""Company: Northvolt (SE)"", ""request_id"": ""req_6100cc3bb31141e1b66fef04cf444688"", ""execution_api"": ""live""}",gpt-4o-mini-2024-07-18,0.0,220,b3da0efcb33025a739a784324b844af10ebe8a35
arch-v2-000042,GPT4O_LONGCTX,battery,atomic_verified,LiCell-085,arch_v2_s000042,What is the capacity of LiCell-085?,"[[""2200 mAh""]]",1,1,The capacity of LiCell-085 is 2200 mAh.,819,14,"{""raw_answer"": ""The capacity of LiCell-085 is 2200 mAh."", ""request_id"": ""req_fedfebc974924f4bbb68aaf14e35b4ef"", ""execution_api"": ""live""}",gpt-4o-mini-2024-07-18,0.0,220,b3da0efcb33025a739a784324b844af10ebe8a35
arch-v2-000043,GPT4O_LONGCTX,battery,atomic_verified,LiCell-075,arch_v2_s000043,Is LiCell-075 a Product?,"[[""Product""]]",1,1,"Yes, LiCell-075 is a Product.",816,10,"{""raw_answer"": ""Yes, LiCell-075 is a Product."", ""request_id"": ""req_d2df6c0d492f412ab5314f0e699cd4de"", ""execution_api"": ""live""}",gpt-4o-mini-2024-07-18,0.0,220,b3da0efcb33025a739a784324b844af10ebe8a35
arch-v2-000044,GPT4O_LONGCTX,battery,atomic_verified,battery_seed_0008,arch_v2_s000044,"According to battery_seed_0008, what is the V Capacity?","[[""14""]]",1,1,V Capacity: 14 Ah,1558,6,"{""raw_answer"": ""V Capacity: 14 Ah"", ""request_id"": ""req_2fb8fb62f80d4745a9f1d977185548e5"", ""execution_api"": ""live""}",gpt-4o-mini-2024-07-18,0.0,220,b3da0efcb33025a739a784324b844af10ebe8a35
arch-v2-000045,GPT4O_LONGCTX,battery,atomic_verified,LiCell-118,arch_v2_s000045,What is the compatible accessory of LiCell-118?,"[[""ThermalPad""]]",1,1,The compatible accessory of LiCell-118 is ThermalPad.,820,12,"{""raw_answer"": ""The compatible accessory of LiCell-118 is ThermalPad."", ""request_id"": ""req_862193dd05934506a79e3ef65cb0dcac"", ""execution_api"": ""live""}",gpt-4o-mini-2024-07-18,0.0,220,b3da0efcb33025a739a784324b844af10ebe8a35
arch-v2-000046,GPT4O_LONGCTX,battery,atomic_verified,LiCell-099,arch_v2_s000046,Is LiCell-099 a Battery?,"[[""Battery""]]",1,1,"Yes, LiCell-099 is a Battery.",813,10,"{""raw_answer"": ""Yes, LiCell-099 is a Battery."", ""request_id"": ""req_c24ea0008a4a45099634354bd4e84bb7"", ""execution_api"": ""live""}",gpt-4o-mini-2024-07-18,0.0,220,b3da0efcb33025a739a784324b844af10ebe8a35
arch-v2-000047,GPT4O_LONGCTX,battery,atomic_verified,battery_seed_0012,arch_v2_s000047,"According to battery_seed_0012, what is the Thermal runaway detection?","[[""cell/module temperature, ΔT/ΔV patterns""]]",0,1,Thermal runaway detection includes cell/module temperature and ΔT/ΔV patterns.,1425,16,"{""raw_answer"": ""Thermal runaway detection includes cell/module temperature and \u0394T/\u0394V patterns."", ""request_id"": ""req_901f2b7033d4401b9a556c9b3789faaf"", ""execution_api"": ""live""}",gpt-4o-mini-2024-07-18,0.0,220,b3da0efcb33025a739a784324b844af10ebe8a35
arch-v2-000048,GPT4O_LONGCTX,battery,atomic_verified,LiCell-030,arch_v2_s000048,What is the capacity of LiCell-030?,"[[""4000 mAh""]]",1,1,The capacity of LiCell-030 is 4000 mAh.,824,14,"{""raw_answer"": ""The capacity of LiCell-030 is 4000 mAh."", ""request_id"": ""req_123870b0f4f44cd4827c35cb8c692b3a"", ""execution_api"": ""live""}",gpt-4o-mini-2024-07-18,0.0,220,b3da0efcb33025a739a784324b844af10ebe8a35
arch-v2-000049,GPT4O_LONGCTX,battery,atomic_verified,LiCell-088,arch_v2_s000049,Is LiCell-088 a Thing?,"[[""Thing""]]",1,1,"Yes, LiCell-088 is a Thing.",799,10,"{""raw_answer"": ""Yes, LiCell-088 is a Thing."", ""request_id"": ""req_1328cf315a8f499babace49a8bda9c79"", ""execution_api"": ""live""}",gpt-4o-mini-2024-07-18,0.0,220,b3da0efcb33025a739a784324b844af10ebe8a35
arch-v2-000050,GPT4O_LONGCTX,battery,atomic_verified,battery_seed_0007,arch_v2_s000050,"According to battery_seed_0007, what is the DPP issuer?","[[""Example DPP Generator""]]",1,1,DPP issuer: Example DPP Generator (sample),1470,11,"{""raw_answer"": ""DPP issuer: Example DPP Generator (sample)"", ""request_id"": ""req_05342a1219da4917ba7cdc6599d13e28"", ""execution_api"": ""live""}",gpt-4o-mini-2024-07-18,0.0,220,b3da0efcb33025a739a784324b844af10ebe8a35
arch-v2-000051,GPT4O_LONGCTX,battery,atomic_verified,LiCell-136,arch_v2_s000051,What is the manufacturer of LiCell-136?,"[[""CellTech""]]",1,1,CellTech,801,2,"{""raw_answer"": ""CellTech"", ""request_id"": ""req_ec35543d6afc4cf2b964d7f90a04b702"", ""execution_api"": ""live""}",gpt-4o-mini-2024-07-18,0.0,220,b3da0efcb33025a739a784324b844af10ebe8a35
arch-v2-000052,GPT4O_LONGCTX,battery,atomic_verified,LiCell-126,arch_v2_s000052,Is LiCell-126 a Thing?,"[[""Thing""]]",1,1,"Yes, LiCell-126 is a Thing.",800,10,"{""raw_answer"": ""Yes, LiCell-126 is a Thing."", ""request_id"": ""req_f3f13992f0244ec49dc8f23b7ad329c3"", ""execution_api"": ""live""}",gpt-4o-mini-2024-07-18,0.0,220,b3da0efcb33025a739a784324b844af10ebe8a35
arch-v2-000053,GPT4O_LONGCTX,battery,atomic_verified,battery_seed_0046,arch_v2_s000053,"According to battery_seed_0046, what is the GS1 keys?","[[""GTIN 03012345678957, Serial VARTA-FCEAD75981, Lot B20250520-47""]]",1,1,"GS1 keys: GTIN 03012345678957, Serial VARTA-FCEAD75981, Lot B20250520-47",1563,29,"{""raw_answer"": ""GS1 keys: GTIN 03012345678957, Serial VARTA-FCEAD75981, Lot B20250520-47"", ""request_id"": ""req_d26628aa291141a4887565ee361ae174"", ""execution_api"": ""live""}",gpt-4o-mini-2024-07-18,0.0,220,b3da0efcb33025a739a784324b844af10ebe8a35
arch-v2-000054,GPT4O_LONGCTX,battery,atomic_verified,LiCell-099,arch_v2_s000054,What is the compatible accessory of LiCell-099?,"[[""FuseKit""]]",1,1,"The compatible accessory of LiCell-099 is ""FuseKit"".",817,13,"{""raw_answer"": ""The compatible accessory of LiCell-099 is \""FuseKit\""."", ""request_id"": ""req_2d4d0f9573c54e0ca61e257e9e3fc3e5"", ""execution_api"": ""live""}",gpt-4o-mini-2024-07-18,0.0,220,b3da0efcb33025a739a784324b844af10ebe8a35
arch-v2-000055,GPT4O_LONGCTX,battery,atomic_verified,LiCell-060,arch_v2_s000055,Is LiCell-060 a Product?,"[[""Product""]]",1,1,"Yes, LiCell-060 is a Product.",798,10,"{""raw_answer"": ""Yes, LiCell-060 is a Product."", ""request_id"": ""req_fe3b690b755545408ef4b1eee218e965"", ""execution_api"": ""live""}",gpt-4o-mini-2024-07-18,0.0,220,b3da0efcb33025a739a784324b844af10ebe8a35
arch-v2-000056,GPT4O_LONGCTX,battery,atomic_verified,battery_seed_0037,arch_v2_s000056,"According to battery_seed_0037, what is the Packaging?","[[""recyclable corrugated; avoid unnecessary plastics""]]",1,1,Packaging: recyclable corrugated; avoid unnecessary plastics,1701,9,"{""raw_answer"": ""Packaging: recyclable corrugated; avoid unnecessary plastics"", ""request_id"": ""req_719eaa7b4b80416eb29a39b39bdc071c"", ""execution_api"": ""live""}",gpt-4o-mini-2024-07-18,0.0,220,b3da0efcb33025a739a784324b844af10ebe8a35
arch-v2-000057,GPT4O_LONGCTX,battery,atomic_verified,LiCell-103,arch_v2_s000057,What is the voltage of LiCell-103?,"[[""24 V""]]",1,1,The voltage of LiCell-103 is 24 V.,820,12,"{""raw_answer"": ""The voltage of LiCell-103 is 24 V."", ""request_id"": ""req_0ffcdd99ae2f47aebf366bc28f60898b"", ""execution_api"": ""live""}",gpt-4o-mini-2024-07-18,0.0,220,b3da0efcb33025a739a784324b844af10ebe8a35
